	Astrocyte	Astrocyte,Neurons	Astrocyte,Oligos	Blood	Immune	Neurons	Neurons,Cycling	Neurons,Oligos	Oligos	Vascular	dummy
Spotx99	1.6213016e-09	0.36314547	0.18510242	1.6210635e-09	0.035360422	0.12511316	0.100058176	1.620847e-09	1.6211933e-09	0.17977823	0.011442232
Spotx100	5.3904253e-10	0.024089983	0.056663636	0.34105107	0.080242254	0.37372893	5.392544e-10	5.39021e-10	0.05236723	0.06270033	0.009156561
Spotx101	6.3198824e-10	0.17067172	0.22985351	0.27623636	0.09116184	0.11622546	6.3169053e-10	0.11452655	6.3188815e-10	6.320955e-10	0.0013246065
Spotx102	0.0063325064	4.2112594e-10	4.2108259e-10	4.212553e-10	0.086680956	0.30225164	0.33513284	0.25076264	4.2110665e-10	0.009869592	0.00896982
Spotx103	0.008806742	0.5007755	0.12173585	0.109009475	7.843623e-10	7.8445955e-10	7.8451645e-10	0.09157771	0.07039808	0.0954624	0.0022342089
Spotx104	8.2530277e-10	0.17702498	0.010237255	8.2539886e-10	0.4497805	0.07982145	8.255011e-10	0.13736755	0.13952532	8.251926e-10	0.006242946
Spotx105	0.43891335	8.4009805e-10	8.4017987e-10	8.4025675e-10	8.3999396e-10	8.398834e-10	0.03022604	8.402279e-10	8.398386e-10	0.5272348	0.0036259198
Spotx106	0.095061846	0.56037605	5.3223026e-10	5.3228816e-10	5.321896e-10	0.3007476	0.037022598	5.322526e-10	5.325227e-10	5.3235927e-10	0.0067920373
Spotx107	3.7757997e-10	0.6741572	0.006217567	3.7751807e-10	3.7764192e-10	0.16662654	3.7766856e-10	0.11772435	0.029128352	3.775692e-10	0.006146016
Spotx108	0.014733415	0.39433295	0.09168133	0.2431358	0.042577837	0.114416055	0.018999947	4.730914e-10	0.0752301	0.0044868123	0.00040572544
Spotx109	0.072144635	0.16410185	0.04918137	4.3448098e-10	4.34733e-10	4.3539433e-10	0.022767482	0.058065783	0.6263368	4.347023e-10	0.0074020117
Spotx110	5.53477e-10	5.532353e-10	0.02131664	5.5349175e-10	0.06442462	5.5389726e-10	0.5452884	0.29961756	0.018067187	0.041801088	0.009484493
Spotx111	3.4424472e-10	0.033956505	0.081493355	0.24951467	0.0114734	0.2863657	3.4431236e-10	0.08288396	0.20532201	0.033667233	0.015323184
Spotx112	6.589097e-10	0.2180628	0.04480816	6.58769e-10	6.586911e-10	0.11077151	0.59888667	0.013913503	0.0098908665	6.5913225e-10	0.0036664552
Spotx113	0.0011215215	0.21909143	2.865201e-10	2.8647368e-10	2.8650754e-10	0.1702047	2.864502e-10	0.34227315	0.2464123	2.8650102e-10	0.020896848
Spotx114	8.796191e-10	8.7945473e-10	8.7912605e-10	8.792652e-10	0.9235576	0.042610344	8.7952856e-10	8.7943297e-10	0.00352202	0.026332539	0.003977539
