"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Neurons_Cycling","log2fold_change","Auc"
"11","Atpif1","hurdle",1.03962751731239e-20,1.302727,2.377331,1.074604,0.804
"48","Hint1","hurdle",2.13506611696795e-23,0.9785238,2.3802814,1.4017576,0.802
"44","H1f0","hurdle",1.14568747772829e-29,0.04945505,2.21491844,2.16546339,0.802
"100","Rpl10a","hurdle",2.4370162230843e-22,1.185911,2.570566,1.384655,0.796
"37","Eif5a","hurdle",3.71237730777988e-22,0.809547,2.122778,1.313231,0.795
"119","Rpl32","hurdle",9.52126015561574e-21,2.569864,3.792368,1.222504,0.794
"17","Cnbp","hurdle",4.57373384070954e-23,0.5137243,1.9861204,1.4723961,0.791
"160","Rps9","hurdle",9.58708293542501e-20,2.532635,3.731276,1.198641,0.79
"157","Rps6","hurdle",4.592394890465e-20,1.888944,2.985345,1.096401,0.789
"130","Rpl8","hurdle",2.35613405276325e-19,1.9277,3.038616,1.110916,0.787
"92","Psmb6","hurdle",1.87450871636366e-21,0.1548493,1.6372106,1.4823613,0.786
"128","Rpl7","hurdle",2.82524536172676e-20,1.34907,2.573148,1.224078,0.784
"159","Rps8","hurdle",4.43017363164163e-17,2.108419,3.070024,0.961605,0.783
